Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
366472,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD876437,Land Covers,1.0,39.23533,-106.30235,3065.8
367170,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDD150070,Land Covers,1.0,38.90778,-105.98034,2877.3
367169,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDD346627,Land Covers,1.0,39.41134,-105.75968,3066.2
367168,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDD347627,Land Covers,1.0,39.41135,-105.75852,3055.4
366976,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDD561626,Land Covers,1.0,39.4118,-105.50994,2419.8
366605,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE300024,Land Covers,1.0,39.76865,-105.8173,3026.7
366850,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE491225,Land Covers,1.0,39.9511,-105.59587,2739.5
366849,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE570239,Land Covers,1.0,39.96415,-105.50349,2480.0
366606,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE815072,Land Covers,1.0,39.81458,-105.21615,1786.3
366919,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE872079,Land Covers,2.0,39.82099,-105.14956,1675.1
366918,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE873077,Land Covers,1.0,39.81919,-105.14839,1683.9
366923,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SDE873078,Land Covers,2.0,39.82009,-105.14839,1686.5
